station,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Pinner,2.25,2.31,2.26,2.2,2.3,2.47,2.61,2.84,3.084213,3.2,3.43
Plaistow,5.88,6.31,6.16,6.14,6.34,6.29,6.25,6.79,7.063495,5.49,6.13
Preston Road,3.03,3.1,2.95,2.86,2.96,2.97,3.15,3.47,3.4277089999999997,3.31,3.63
Putney Bridge,5.62,5.51,5.65,5.43,5.33,5.6,5.92,5.93,5.7569099999999995,5.42,5.38
Queen's Park,5.04,5.66,5.29,5.21,5.53,5.41,5.58,5.84,5.771615,5.64,5.65
Queensbury,3.19,3.21,3.19,2.98,3.18,3.37,3.85,4.2,4.525278,4.68,4.65
Queensway,8.04,8.48,8.48,9.33,8.86,8.56,8.58,7.59,7.656619,8.71,8.52
Ravenscourt Park,2.59,2.62,2.5,2.52,2.65,2.75,2.77,2.91,3.1890080000000003,3.18,3.21
Rayners Lane,3.81,3.85,3.91,3.87,3.98,3.95,4.08,4.37,4.512905,4.46,4.32
Redbridge,2.27,2.36,2.56,2.61,2.63,2.57,2.67,2.91,2.934539,3.05,2.94
Regent's Park,2.87,3.34,3.27,3.71,3.78,3.78,3.79,3.71,3.5414809999999997,3.35,3.61
Richmond,7.31,7.3,7.6,7.15,7.47,7.56,7.95,8.45,8.661325,8.11,8.33
Rickmansworth,1.87,1.9,1.9,1.91,2.03,2.17,2.24,2.42,2.442771,2.46,2.71
Roding Valley,0.2,0.21,0.21,0.21,0.22,0.22,0.24,0.26,0.260651,0.37,0.37
Royal Oak,1.55,1.83,1.77,1.85,2.05,2.22,2.43,2.7,2.491199,2.55,2.62
Ruislip,1.57,1.59,1.58,1.53,1.57,1.62,1.71,1.9,1.9031049999999998,1.95,1.99
Ruislip Gardens,0.77,0.88,0.96,0.98,1.0,0.99,1.0,1.08,1.112623,1.07,1.16
Ruislip Manor,1.48,1.55,1.56,1.57,1.6,1.69,1.77,1.98,2.005867,1.99,2.04
Russell Square,13.59,13.59,14.05,14.18,14.73,13.44,12.95,13.08,13.328942000000001,12.35,11.45
Seven Sisters,13.53,13.34,12.38,12.43,12.53,13.25,14.46,15.97,17.522713,18.61,18.33
Shepherd's Bush (Cen),12.14,20.73,18.96,21.71,21.59,21.9,22.87,22.87,22.257246,22.85,22.62
Shepherd's Bush (H&C),3.42,3.58,2.96,2.87,3.0,3.26,3.44,3.66,3.4125900000000002,3.57,3.73
Sloane Square,13.91,14.79,14.42,14.74,14.94,16.51,16.56,16.76,17.197513,17.15,17.23
Snaresbrook,2.16,2.22,2.43,2.42,2.6,2.54,2.59,2.78,2.674477,2.69,2.93
South Ealing,3.45,3.36,3.34,3.31,3.32,3.31,3.48,3.7,3.699819,3.62,3.66
South Harrow,2.18,2.19,2.27,2.4,2.28,2.26,2.29,2.5,2.583973,2.48,2.22
